Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006
cosmetics,SKU85,76.96299442,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683
skincare,SKU86,19.99817694,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898
haircare,SKU87,80.41403665,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177
cosmetics,SKU88,75.27040698,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248
cosmetics,SKU89,97.76008558,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739
skincare,SKU90,13.8819135,56,320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725
cosmetics,SKU91,62.11196546,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315
cosmetics,SKU92,47.71423308,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459
cosmetics,SKU94,3.037688725,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257
haircare,SKU95,77.90392722,65,672,7386.363944,Unknown,15,14,26,9,Carrier B,8.63033887,Supplier 4,Mumbai,18,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414
cosmetics,SKU96,24.42313142,29,324,7698.424766,Non-binary,67,2,32,3,Carrier C,5.352878044,Supplier 3,Mumbai,28,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411
haircare,SKU97,3.526111259,56,62,4370.91658,Male,46,19,4,9,Carrier A,7.904845611,Supplier 4,Mumbai,10,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229
skincare,SKU98,19.75460487,43,913,8525.95256,Female,53,1,27,7,Carrier B,1.409801095,Supplier 5,Chennai,28,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635
haircare,SKU99,68.5178327,17,627,9185.185829,Unknown,55,8,59,6,Carrier B,1.311023756,Supplier 2,Chennai,29,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009
haircare,SKU100,76.83128522,66.02055748,681.3634901,7627.343822,Unknown,13.16634631,13.92799464,22.17917051,8.911295384,Carrier B,8.700346279,Supplier 4,Mumbai,17.46107289,451.4066365,25.90748043,58.9344099,Fail,1.168781765,Air,Route A,769.360694
skincare,SKU101,20.75737612,89.71594479,105.1919946,4986.955118,Non-binary,25.13129832,23.67814044,84.65930224,5.037017024,Carrier C,1.517018245,Supplier 1,Mumbai,23.4039277,839.06066,27.00789284,13.07038913,Pass,1.27221624,Road,Route B,834.934561
haircare,SKU102,31.93571337,12.80128159,617.9994393,6098.745186,Non-binary,34.29432539,22.073135,57.39498373,3.230497337,Carrier B,4.195408778,Supplier 1,Kolkata,27.22456423,509.1022708,29.041164,31.05045259,Pass,2.468094378,Road,Route A,805.3774703
cosmetics,SKU103,84.25571535,41.43299252,365.4287363,8199.485143,Male,17.45047071,25.09652913,67.5343557,5.166347429,Carrier B,1.657890761,Supplier 4,Chennai,12.21658127,432.7719099,3.619213208,45.33730433,Fail,4.534719756,Air,Route A,854.4816404
cosmetics,SKU104,5.340463745,12.79602827,387.1328717,6263.333399,Female,50.57394993,14.74211022,23.18792491,3.900523761,Carrier B,9.929816245,Supplier 1,Mumbai,13.56466332,195.4196165,7.584989711,56.21779557,Pending,0.843407608,Air,Route A,104.5237396
haircare,SKU105,46.91465267,88.49591403,31.93378682,7002.740704,Female,4.843569141,11.67440722,22.59698709,3.923641198,Carrier B,6.20048144,Supplier 1,Bangalore,22.52859819,758.8504626,16.41274114,8.818446081,Pass,2.102270337,Road,Route C,179.4186105
haircare,SKU106,1.699976014,86.3878392,151.3893633,2744.042579,Non-binary,92.51151225,26.48112776,65.64494388,2.92084841,Carrier B,4.702133501,Supplier 4,Bangalore,10.11400177,122.1811008,16.13837498,57.29192922,Fail,2.866744707,Road,Route A,236.931647
haircare,SKU107,41.70642025,71.65813617,111.9402013,2127.879388,Male,80.67093014,12.00788307,52.3201047,2.998404476,Carrier C,2.207057948,Supplier 4,Kolkata,19.45598145,926.0299777,23.38697953,81.45606371,Pending,3.842508558,Road,Route B,454.0732617
haircare,SKU108,69.30855461,18.41571389,636.9277527,9336.179433,Unknown,57.01704165,8.888379505,57.76653648,6.086501179,Carrier B,1.244985251,Supplier 2,Chennai,28.51653579,908.8502995,2.2870742,38.89586095,Fail,0.385433021,Rail,Route B,206.7095187
skincare,SKU109,99.17132864,28.34904708,557.329668,8444.822093,Non-binary,53.20221502,29.44684663,79.28586351,5.093355137,Carrier B,1.928368368,Supplier 4,Kolkata,25.43610352,575.2129618,13.59665545,5.709642441,Pending,0.299516578,Sea,Route B,916.013778
cosmetics,SKU110,15.13210039,91.68489051,744.4547246,7093.229198,Non-binary,51.53463162,30,38.139989,1.854186845,Carrier A,9.634823274,Supplier 3,Mumbai,22.65557482,515.1878858,29.98445928,34.93206075,Pending,4.803198679,Road,Route B,509.7381482
haircare,SKU111,53.01714015,22.9879796,133.5685777,6899.99925,Unknown,31.80222069,23.53306436,35.44847837,7.048130617,Carrier C,9.087707696,Supplier 4,Mumbai,13.61250754,497.4797862,11.89852334,77.21537407,Fail,4.420270057,Air,Route A,148.3109557
skincare,SKU112,17.67239359,17.92062474,246.0839822,1077.63604,Unknown,27.39460602,13.74193146,20.33784128,5.590252768,Carrier B,1.505108754,Supplier 1,Mumbai,4.12011444,589.1277921,17.34992303,71.46247578,Fail,2.011486111,Rail,Route A,262.6762115
haircare,SKU113,28.87831104,76.31250491,882.1878434,2588.644703,Non-binary,89.4063361,29.23181901,4.762421902,7.904848997,Carrier B,4.175520135,Supplier 3,Chennai,18.71820418,870.3748052,23.17912315,80.67166674,Pending,3.672303824,Road,Route B,426.9278688
skincare,SKU114,24.28817852,2.858228378,936.7643339,2435.554128,Female,26.70018798,8.5079152,21.67671707,9.008761471,Carrier A,1.623911709,Supplier 3,Kolkata,23.5039083,896.7247261,15.97088428,35.18701749,Pending,2.629705002,Sea,Route A,176.5808983
skincare,SKU115,22.01714334,93.23265195,87.84437362,4933.342453,Non-binary,23.62154186,22.82456923,81.45156843,4.616036054,Carrier C,1.767914846,Supplier 1,Mumbai,24.07450201,844.7804708,28.46135419,14.42799712,Pass,1.077897713,Sea,Route B,840.4219999
cosmetics,SKU116,55.95504979,55.18679685,184.9047759,7531.303914,Female,32.5271822,25.72909477,17.11494701,1.223893528,Carrier B,6.477953588,Supplier 3,Bangalore,5.710576762,228.6686867,12.07861586,58.60371308,Pending,0.088118866,Air,Route A,372.8529794
skincare,SKU117,52.67947877,63.91040623,542.9239166,1535.01603,Non-binary,93.81507148,1,27.5323062,2.854271366,Carrier B,9.780908152,Supplier 4,Kolkata,8.725173179,861.745351,7.316844864,77.6404024,Pending,1.319441964,Air,Route A,205.7044851
haircare,SKU118,29.02829161,60.33294231,162.1944429,9866.465458,Male,100,3.881416112,51.74301678,1.180641981,Carrier A,5.199080085,Supplier 5,Bangalore,18.11152395,707.4834613,27.85997964,16.06342536,Fail,1.881319164,Road,Route A,687.6563463
skincare,SKU119,88.7480533,84.92355764,494.1614996,2699.406547,Non-binary,55.19589689,28.49559541,79.13832609,8.785905859,Carrier A,6.892546432,Supplier 1,Bangalore,20.47763997,163.2484657,10.80940128,56.94733703,Fail,3.159781741,Rail,Route B,675.0354697
skincare,SKU120,20.9800639,40.48659749,899.2535336,8335.029775,Female,53.93914364,1.41418003,26.70773055,6.842872658,Carrier B,1.406279307,Supplier 5,Chennai,27.71778366,566.9714722,9.196616337,4.113249601,Pending,2.753973064,Rail,Route A,858.1796132
skincare,SKU121,13.90258859,18.22987617,374.5917651,8949.872516,Female,42.31504883,27.25602447,70.35659376,7.934381154,Carrier C,4.120733824,Supplier 4,Mumbai,29.28524187,958.9902118,22.94182429,85.71442749,Fail,2.835201575,Rail,Route A,433.2666985
skincare,SKU122,66.84938134,88.71999113,131.5248948,4457.30727,Unknown,57.79157229,17.11538993,66.82980325,1.072773056,Carrier B,7.226804888,Supplier 4,Chennai,20.37878887,835.9854078,20.69165436,32.13406642,Fail,4.197239676,Air,Route A,814.5141805
haircare,SKU123,88.94544479,100,644.9684245,2377.899161,Unknown,73.97851183,26.16570008,77.97322989,9.979006612,Carrier A,8.252669853,Supplier 5,Chennai,23.76738587,621.9610887,22.06648048,32.08519828,Pass,4.939255289,Air,Route B,482.5277253
cosmetics,SKU124,81.15805639,42.53058756,801.8402116,9648.343185,Unknown,95.52098216,12.96932032,64.72743835,3.913703546,Carrier C,6.599583769,Supplier 2,Kolkata,28.43293562,745.2035904,7.778867044,30.4728846,Pass,1.816735132,Road,Route A,746.846018
cosmetics,SKU125,1.699976014,12.69230709,363.0794972,6134.114437,Female,47.47310357,15.39390281,23.42611355,3.940699398,Carrier B,9.929816245,Supplier 2,Mumbai,13.19433366,176.570668,7.272175202,56.40795816,Fail,0.890234889,Air,Route A,134.3818106
skincare,SKU126,99.1343077,96.11457906,900.795682,7062.912191,Male,3.852104869,14.7380375,51.37054747,8.863509228,Carrier B,8.777131975,Supplier 2,Kolkata,10.36117251,975.0923113,19.53349686,21.47471288,Pending,0.318418156,Rail,Route A,586.1264037
skincare,SKU127,52.7230709,100,135.0947036,2561.055822,Unknown,50.68935224,11.05469898,96,2.95252583,Carrier A,4.921435205,Supplier 4,Chennai,19.49060336,710.9496756,16.13490505,81.94093494,Fail,3.393147522,Road,Route C,472.7619323
cosmetics,SKU128,62.33843642,88.32710106,923.9348376,2017.675734,Female,99.03999815,21.43285442,83.70345711,6.878170741,Carrier B,7.407200971,Supplier 4,Delhi,5.312573127,212.2187763,28.21762584,42.43707873,Pending,0.69379765,Rail,Route C,994.2443278
